NRO	BHM	HPHM	SIM
1	0.005122	0.73753	0.592712
2	0.014603	0.68201	0.422084
3	0.097566	0.62648	0.410423
4	0.002064	0.645262	0.418407
5	0.030519	0.702898	0.399369
6	0.087407	0.784021	0.427152
7	0.094422	0.707176	0.500873
8	0.013079	0.890392	0.484111
9	0.028995	0.650127	0.491512
10	0.085714	0.734298	0.388552
11	0.009817	0.650833	0.459229
12	0.075556	0.84598	0.389732
13	0.11619	0.68201	0.419871
14	0.022585	0.704021	0.234207
15	0.016054	0.686958	0.191986
16	0.100952	0.783731	0.183732
17	0.021376	0.871106	0.213841
18	0.004362	0.701572	0.239657
19	0.100952	0.758309	0.336809
20	0.098776	0.704671	0.250188
21	0.004154	0.770222	0.298025
22	0.032381	0.72278	0.250093
23	0.085714	0.93803	0.14689
24	0.063946	0.661745	0.373879
25	0.046531	0.688612	0.179924
26	0.098413	0.709404	0.143249
27	0.060317	0.704418	0.216936
28	0.012323	0.667511	0.196216
29	0.27619	0.731861	0.241598
30	0.092971	0.714411	0.208812
31	0.011701	0.714105	0.191971
32	0.031534	0.651623	0.288127
33	0.238095	0.851722	0.112618
34	0.009026	0.694023	0.356689
35	0.131429	0.784746	0.173578
36	0.390476	0.706979	0.209378
37	0.079184	0.65338	0.217405
38	0.056327	0.666788	0.267682
39	0.12381	0.747933	0.159812
40	0.075556	0.784697	0.184236
41	0.042032	0.880097	0.194572
42	0.314286	0.860373	0.186498
43	0.013878	0.744936	0.343305
44	0.008508	0.716283	0.23116
45	0.001739	0.638751	0.195281
46	0.04	0.66838	0.262397
47	0.0131	0.683762	0.150413
48	0.00165	0.732956	0.131957
49	0.004444	0.713911	0.244331
50	0.033469	0.834725	0.134103
51	0.122963	0.784804	0.415079
52	0.025197	0.727889	0.215513
53	0.085714	0.731564	0.251325
54	0.542857	0.747754	0.148046
55	0.023746	0.920895	0.10892
56	0.182222	0.82771	0.175941
57	0.466667	0.962729	0.127968
58	0.077007	0.744732	0.439412
59	0.052698	0.75867	0.323407
60	0.115344	0.710386	0.207294
61	0.070476	0.787723	0.203524
62	0.03921	0.703362	0.269189
63	0.288889	0.966016	0.152045
64	0.010799	0.707766	0.472558
65	0.023673	0.704671	0.20949
66	0.072653	0.711106	0.168013
67	0.008044	0.656892	0.244006
68	0.059592	0.835147	0.138027
69	0.080272	0.688033	0.457336
70	0.010177	0.746229	0.26813
71	0.027302	0.655114	0.305855
72	0.2	0.859568	0.213378
73	0.022222	0.734129	0.363568
74	0.177143	0.721746	0.228363
75	0.428571	0.851634	0.116195
76	0.00756	0.778878	0.33637
77	0.055238	0.938453	0.097858
78	0.146667	0.845307	0.306327
