Dyad	Ratio	CD	DV	Tone 1	Tone 2	Tone 1	Tone 2	Overall	Piano	Clarinet
1 	27:25 	0.0205 	1.08 	0 	1 	251.57 	271.69 	2.58 	2.25 	2.84 
2 	25:21 	0.0013 	1.19 	0 	2 	238.88 	284.38 	4.53 	4.68 	4.41 
3 	9:7 	0.0258 	1.29 	0 	3 	228.93 	294.33 	3.61 	3.73 	3.52 
4 	7:5 	0.0142 	1.40 	0 	4 	218.03 	305.24 	3.60 	3.28 	3.87 
5 	75:49 	0.0323 	1.53 	0 	5 	206.77 	316.49 	3.62 	3.77 	3.50 
6 	5:3 	0.0151 	1.67 	0 	6 	196.22 	327.04 	4.61 	4.44 	4.75 
7 	9:5 	0.0182 	1.80 	0 	7 	186.88 	336.38 	3.61 	3.59 	3.63 
8 	49:25 	0.0400 	1.96 	0 	8 	176.78 	346.48 	3.42 	3.02 	3.74 
9 	15:7 	0.0239 	2.14 	0 	9 	166.49 	356.77 	3.18 	3.19 	3.18 
10 	7:3 	0.0451 	2.33 	0 	10 	156.98 	366.28 	3.67 	3.75 	3.61 
11 	63:25 	0.0002 	2.52 	0 	11 	148.65 	374.61 	4.89 	5.40 	4.46 
12 	25:9 	0.0506 	2.78 	0 	12 	138.51 	384.75 	3.05 	3.25 	2.87 
13 	3:1 	0.0034 	3.00 	0 	13 	130.82 	392.45 	4.13 	4.37 	3.93 
