Triad	Tone 1	Tone 2	Tone 3	Tone 1	Tone 2	Tone 3	Overall	Piano	Clarinet
1 	0 	1 	2 	239.99 	259.19 	285.71 	3.06 	2.87 	3.22 
2 	0 	1 	3 	233.20 	251.86 	299.83 	3.10 	2.95 	3.21 
3 	0 	1 	4 	225.54 	243.59 	315.76 	3.10 	2.76 	3.37 
4 	0 	1 	5 	217.38 	234.77 	332.73 	3.26 	3.08 	3.41 
5 	0 	1 	6 	209.49 	226.25 	349.15 	3.10 	2.85 	3.29 
6 	0 	1 	7 	202.29 	218.47 	364.12 	3.04 	2.90 	3.15 
7 	0 	1 	8 	194.28 	209.82 	380.79 	2.94 	2.91 	2.96 
8 	0 	1 	9 	185.87 	200.74 	398.29 	3.14 	2.97 	3.27 
9 	0 	1 	10 	177.85 	192.07 	414.97 	2.87 	2.68 	3.03 
10 	0 	1 	11 	170.63 	184.28 	429.98 	3.19 	3.13 	3.23 
11 	0 	1 	12 	161.57 	174.50 	448.82 	2.77 	2.89 	2.67 
12 	0 	1 	13 	154.51 	166.87 	463.52 	3.25 	3.41 	3.13 
13 	0 	2 	3 	225.79 	268.80 	290.30 	3.29 	3.19 	3.38 
14 	0 	2 	4 	218.60 	260.24 	306.04 	4.12 	3.92 	4.28 
15 	0 	2 	5 	210.93 	251.11 	322.85 	3.97 	4.17 	3.81 
16 	0 	2 	6 	203.49 	242.25 	339.15 	4.06 	4.29 	3.87 
17 	0 	2 	7 	196.69 	234.16 	354.04 	4.29 	4.40 	4.20 
18 	0 	2 	8 	189.11 	225.13 	370.65 	3.81 	4.14 	3.54 
19 	0 	2 	9 	181.13 	215.63 	388.13 	3.44 	3.17 	3.67 
20 	0 	2 	10 	173.50 	206.55 	404.84 	3.40 	3.29 	3.50 
21 	0 	2 	11 	166.63 	198.36 	419.90 	3.56 	3.43 	3.66 
22 	0 	2 	12 	157.98 	188.07 	438.84 	3.40 	3.61 	3.22 
23 	0 	2 	13 	151.22 	180.02 	453.65 	4.48 	4.67 	4.32 
24 	0 	3 	4 	212.95 	273.80 	298.14 	3.18 	3.13 	3.22 
25 	0 	3 	5 	205.67 	264.43 	314.80 	4.23 	4.49 	4.02 
26 	0 	3 	6 	198.59 	255.33 	330.98 	3.85 	3.45 	4.17 
27 	0 	3 	7 	192.11 	246.99 	345.79 	3.65 	3.41 	3.85 
28 	0 	3 	8 	184.87 	237.69 	362.34 	3.79 	3.79 	3.79 
29 	0 	3 	9 	177.23 	227.87 	379.79 	3.36 	3.36 	3.36 
30 	0 	3 	10 	169.92 	218.47 	396.49 	3.57 	3.58 	3.57 
31 	0 	3 	11 	163.32 	209.99 	411.58 	3.72 	3.58 	3.84 
32 	0 	3 	12 	155.01 	199.30 	430.58 	3.31 	3.36 	3.27 
33 	0 	3 	13 	148.49 	190.92 	445.48 	3.86 	4.11 	3.66 
34 	0 	4 	5 	199.69 	279.56 	305.64 	3.37 	3.31 	3.42 
35 	0 	4 	6 	193.01 	270.21 	321.68 	4.00 	3.88 	4.09 
36 	0 	4 	7 	186.88 	261.63 	336.38 	3.84 	3.81 	3.86 
37 	0 	4 	8 	180.02 	252.03 	352.84 	3.56 	3.53 	3.59 
38 	0 	4 	9 	172.77 	241.88 	370.23 	3.31 	3.17 	3.43 
39 	0 	4 	10 	165.82 	232.15 	386.92 	3.84 	4.00 	3.70 
40 	0 	4 	11 	159.53 	223.34 	402.02 	3.55 	3.35 	3.72 
41 	0 	4 	12 	151.59 	212.22 	421.08 	3.30 	3.21 	3.38 
42 	0 	4 	13 	145.35 	203.49 	436.05 	3.23 	3.29 	3.17 
43 	0 	5 	6 	187.00 	286.22 	311.67 	3.19 	3.25 	3.15 
44 	0 	5 	7 	181.24 	277.41 	326.24 	3.76 	3.93 	3.62 
45 	0 	5 	8 	174.78 	267.53 	342.58 	3.50 	3.68 	3.35 
46 	0 	5 	9 	167.95 	257.06 	359.88 	3.16 	2.88 	3.39 
47 	0 	5 	10 	161.37 	246.99 	376.53 	3.55 	3.47 	3.61 
48 	0 	5 	11 	155.40 	237.86 	391.62 	4.51 	4.86 	4.22 
49 	0 	5 	12 	147.86 	226.31 	410.72 	3.42 	3.66 	3.23 
50 	0 	5 	13 	141.92 	217.22 	425.75 	3.78 	3.42 	4.07 
51 	0 	6 	7 	175.72 	292.87 	316.30 	2.94 	2.90 	2.97 
52 	0 	6 	8 	169.64 	282.74 	332.50 	3.89 	3.44 	4.26 
53 	0 	6 	9 	163.19 	271.99 	349.70 	3.44 	3.15 	3.68 
54 	0 	6 	10 	156.98 	261.63 	366.28 	3.91 	4.09 	3.77 
55 	0 	6 	11 	151.33 	252.21 	381.35 	4.29 	4.29 	4.28 
56 	0 	6 	12 	144.16 	240.27 	400.45 	3.63 	3.45 	3.77 
57 	0 	6 	13 	138.51 	230.85 	415.53 	4.13 	4.49 	3.84 
58 	0 	7 	8 	164.89 	296.81 	323.19 	3.25 	2.88 	3.56 
59 	0 	7 	9 	158.79 	285.83 	340.27 	3.53 	3.27 	3.74 
60 	0 	7 	10 	152.90 	275.22 	356.77 	3.84 	4.09 	3.63 
61 	0 	7 	11 	147.54 	265.56 	371.79 	4.15 	4.46 	3.90 
62 	0 	7 	12 	140.72 	253.29 	390.88 	3.37 	3.39 	3.35 
63 	0 	7 	13 	135.33 	243.59 	405.98 	3.94 	4.03 	3.87 
64 	0 	8 	9 	153.81 	301.48 	329.60 	3.18 	3.04 	3.29 
65 	0 	8 	10 	148.28 	290.63 	345.98 	3.80 	3.59 	3.98 
66 	0 	8 	11 	143.23 	280.73 	360.93 	4.35 	4.30 	4.40 
67 	0 	8 	12 	136.79 	268.12 	379.98 	3.32 	3.27 	3.35 
68 	0 	8 	13 	131.69 	258.12 	395.08 	3.70 	3.38 	3.96 
69 	0 	9 	10 	143.33 	307.13 	334.43 	3.20 	3.06 	3.32 
70 	0 	9 	11 	138.60 	297.01 	349.28 	3.48 	3.65 	3.34 
71 	0 	9 	12 	132.57 	284.08 	368.25 	3.53 	3.46 	3.58 
72 	0 	9 	13 	127.77 	273.80 	383.32 	3.37 	3.30 	3.43 
73 	0 	10 	11 	134.09 	312.88 	337.91 	3.35 	3.38 	3.33 
74 	0 	10 	12 	128.44 	299.69 	356.77 	3.55 	3.57 	3.54 
75 	0 	10 	13 	123.93 	289.17 	371.79 	4.12 	4.15 	4.10 
76 	0 	11 	12 	124.63 	314.07 	346.19 	3.17 	3.46 	2.93 
77 	0 	11 	13 	120.38 	303.36 	361.15 	4.74 	5.38 	4.22 
78 	0 	12 	13 	115.80 	321.68 	347.41 	3.22 	3.50 	2.99 
